ccaa_cd,zbs_residencia_cd,grupo_edad_cd,sexo_cd,tsi_cd,n_poblacion
KPzTEgkrwbCMOtuSqjva,zrrIbVgDKZFtPYIMEBEQ,11,1,4,2931
yADrXHCsLjOWJiKXTWQr,dwjManEDpSTDgOxwLmMv,11,0,3,9010
EBfVzHQwPdvZYRvKXIFr,FBhjiUngOEhlbcJmyhKZ,10,1,3,6308
BfjPoOSKPLSdoXizSHic,ymOtXGFaJqiYmIXOqyFl,1,1,6,4969
ZHtHdGRqpsgEGEHvzcxE,VGuFymFgXvAvBKFaLDwG,16,1,7,7612
bQdwXdnHUTwbCOkSpRIm,rPUopfFvjDuAMqekrxfR,16,1,5,5332
GCiJcPfDTfclbvJrrQhy,BxHWGymakkwHaViXbWpF,16,2,8,6610
ssKOgynayAwXYCMmYoqA,jGBosGxcICaRweUIFaSZ,5,2,5,6957
EAideSQctOszLnkOOCRz,hipDbljLJvBvLlfdBpLn,14,0,7,2156
CAgJvYXeIdOCJrNVkoSn,uYiuDSohDADsJKtaUHwb,16,9,6,3313
ihAdMzwminvAsAnBscPS,tBeNtlwsIHwtMlRmveDn,4,9,7,9124
BebZPJkthRxZzvoNGPgh,ivdsebpXJqHIMJjbILxf,11,9,1,6261
ABurkbQHeTwvnEjpSBVO,CpUcGwwxZacHJPvWtOyj,15,2,4,4840
FfDyqpOOpOhjcHQbWrjs,UdefOEFTmebdyOqRmasg,15,9,7,3656
QfSDXNSxpEFElFagAwaE,MyZGiEnpwJAvYfDtZKaa,17,9,4,524
XkHrHSSHvxNdHGfKnURx,iSKJmkBoeHDppmQEJLPc,8,0,6,8404
LBHHJTXZAbtcyAacNtkW,oCLQLMgWCiIgIenXyYxI,3,0,7,3359
qhdeloZioaURgJzSPXyr,uLuoYPEBzhWRAuUuisxR,8,0,6,2264
DHkqHhKyBpuhDWoEvILv,IHgaEyzrYxgkmSAhHywe,9,1,6,9314
EorJmrkkDdWSSDQdXmaV,SLmcxLYruXruoYwScvSP,1,2,3,2064
qXUSPDfJpXthPqgJtqtu,KlBpwUSQZaGwuDMHIBCJ,15,9,0,2886
WcUYBYUfKhBAixApaZtY,WMKUWqXebPwIjRaKFzRT,3,2,6,6259
fBYDtcxaYkuveXMPTqDZ,EZmRCLUmjvWXGLIFnhmr,5,2,4,4173
BCvOhtriChKUDZfHyOCx,velhgSRWDgCucRsCjvUo,13,9,7,1691
qOPEXRqOeHTwoHnTTNRx,PLGakTEfkVwWXwfTKcmi,4,0,4,3021
BVQrpUhOkJcNtXEZGKOq,xGswqnljBARctRwSkxFE,11,9,3,6120
xmAasVLWRWCuekJQSXHK,WGUqYkruVLeezQeeMRKJ,2,9,5,9975
cwKzmehRtMELYtXfKJqH,tvRKZxmjsFiApLIxGnPI,12,2,2,6757
GEXHcfjlsCOdCVAJQcBU,QnZgldLYqDouvLIeFkgg,5,0,4,380
EtMObnOcEVOCEyaEfNVT,ZYiYyIwPqtAWvhloHcGb,6,1,7,8431
UoHHKbblqBvhYhtwmvCM,FVqUZiIDgdJWZjkLVmPN,14,2,3,3368
TgknHLNcDPunZnpnGaBR,gHXzzOGkejpVOdKcwqNg,9,1,7,9763
eIxWOTXEiruFkVTUGUIv,wDNKWtOsibEUmbwWZFBk,4,1,3,8817
kScVPEzJtmtnxKewwpDy,KtTRxCJJGytWijpxFgvO,18,9,6,5690
MWVvsAvuoHiCOnldeUJb,iJNjIgyHoyEiGFKCjfAO,13,2,1,3151
YwaRcSxVPDZUDcIhfpOR,wdyyUBUWxfNkveHZShTn,5,0,6,798
tMVJYoMxtwwaPybiPiPU,rxGMCRUBaZsEjCniSoXF,2,0,0,9049
qeBODSMxdszciUhOPWTj,YLUOzcIgRGimSSPPXGyS,7,2,7,101
duUxyDxHTfMSKXsWGTjh,ujbcRZaifNJBqLmnThSG,4,9,3,9329
dzwfVEllqjqIcnlWNYDt,ugzoytocVflkiQdibRcy,14,9,2,114
NHCRlEQxFbPEsYEJAFKO,mPiHcrsnYqXzgidVXivj,1,1,6,7537
EEyTXPvYggqsQvXRapBv,pwlyHYFhcVWdoIRXsttV,3,9,4,6787
GHLkYcKBGYhSaPzzdEBI,ZgvXNTenGiblyfyqkUOS,15,1,4,2490
LxpzybHsQXetNCYWCrsA,AUbFPCxvygeXxgPzMKZU,2,1,0,315
EQAEytxVIfcWAErjyEZi,TVsHqWvoGKlbVmSTURYa,15,0,7,6630
mRWzPSpFAmoEBXCmFCWl,WtzcGasBSbenPZzpBSVi,5,0,6,1669
ZGhDFJtBfoCsqMnVpBvg,bSlhOXUUZVJRCcxyaTwp,18,2,4,4178
SUpPECPFAhkkkqbDWnFI,NubyfaPqQBgvqmGcGYju,16,1,8,2532
oUZtzflyRhbQDNweofMO,sRYRxAgPFBztkQBdcieA,2,1,1,9385
TlOgSlDCZsIxcYwiJOpb,TTnvwZlavzASvoqcDmyD,3,1,3,9534
bqCHiaxJnVdwoivdLhoM,IlqPVvBbDoHImxVHRhQA,9,1,0,1074
ZyhUWXdpNVgEupwmdOSV,YeQnhcNxCkZZfKYBXZIi,15,0,8,5805
SQJTCNHBnhBpEAVdXFtD,YPgnrSRFniNSWrqCnoMW,5,9,5,1989
EhHGdiSZPOsyLtsBZHfP,cQgGnpWLcceRctPSCsOE,11,9,4,3816
YEjNeYnpLIJkczGhKOpW,VolMbiyTzujOjFCFascy,2,1,0,1414
HWzQbvBENifqBwXSFHCQ,FviBrHwehCkJTuKqOWmE,1,0,4,5454
OwDZvhWomwOmGaxBckxG,CvpmokQHJxnDvOdeKKhO,17,2,5,8880
HNPwWmtmXqJqPOJKGxwd,OoQpmmwDBFWQBrqzqgVn,12,9,5,5694
nxPSboYCeDtchNvrFvgB,slorGmNuiKnPVYjaFtqB,4,1,3,7221
zisvnBYfGRstXNpzilpU,mvPEFBrHtdmTnCEqffer,2,1,2,5372
DMlglTEGxFzMpGQQfShP,mhdJhKDVJlKOFUACpbYs,2,9,2,1092
LBPZlXTMrAGgIDLQBBaK,PGCilClTSEtnmcwTgeWc,14,0,1,9565
DcmqysydZJITuBhOUYus,yVXWCpxzFbZZQmnHmyAi,5,0,3,4507
OZyzZZMpXqEliYKXGFSj,RiLjuHHDbirHIJUUcaBY,8,0,3,713
HiHTCZeYrpidOQalCFAk,GhNERyZdaDkMIPAldNwx,2,2,7,8400
eESBIeQLOeCbvMOvuuEv,DuvhvcsalmgzCvaAgaDN,3,9,6,7930
ManjpFETJmnBkifQmOXY,fLGaWcoQXswWgUoLQrVK,4,9,3,119
XhzqdENsGTqXCDNxJJIw,LrJIRVMCqbKvRkZiSJFo,18,1,8,7717
oXxDOJDzbusgsnqzNWlT,iXfLAGgkOmdPFfvRVgjb,14,2,1,6649
MtqiddFPvWGZHmiTDnna,JgtKdFAtczqJGvLjwQdt,12,0,3,8978
KSbJAHKYsOyMaqXQghzD,FqxmIrilkyEMWqzdSVPG,14,9,7,2444
pzTgLLCnzqVbRwFHjvkq,PftAcihojHVdfCiLRRWE,2,0,7,1534
gyGWKWYJTIRckSPYgOXC,AUtGiuTbGrXnVuGTyrdi,11,1,1,6211
tURXEApeeEaaKHXeQUev,FtnAUbONGodqlbzNCvEz,3,9,4,1311
WtiafGgMDhiknaFEBtRm,plnmartdoobuHpoeyZLO,11,2,6,7658
rhSSiigBiEbjmPrTMUqX,JHAjavnOElaDGMGPMahG,4,1,3,587
rqVhSVFTWFtGCjMwgFVt,VrvjYGlOsKUlFWPpSNtQ,11,2,1,8492
CpLySvnylWOdbfXhfhLH,yetmMVxAysrEVWOzzCWf,17,0,6,2396
UuiPEenWpIXsCMScOXVV,sHhswBnmpuWKNdarZkzl,5,0,5,7277
eTrBNhOjAFBnxXhedroz,vTvxFXngILWqsDdKwYYO,10,2,2,4488
zjmyqPWbuPLFxKoFKfrL,yZEHmEdNZfiiyWIKyyfJ,2,2,2,2978
SyJsjJkrWjipDqeulPEq,KKgfvtYCjSfVGpOxOocX,18,9,1,8340
IVVUdbRvvxQYTFEZymvN,hSkcFTkdQBoIdRfGEdyb,6,0,7,4780
ajVRgKjLPwpKgiUNUfOX,kaAEHZaMCOHfLodcMiHg,18,1,5,3086
JXXQzvikWDlAxfjehhNY,tOWRkKoCIaOTFrsHGGcB,14,1,5,2694
QkAoKIqhTfGkIxuhDvya,zNbYYyTEEdnXVNpGoLiz,9,0,6,3514
YhLvYEerfavbYldLXVsj,zkHqTqGzzFCyTPwYFxUy,1,9,7,6912
KBVTsFngEetfCAPNHhss,VIsAoiQEOJBFgyVFGBMd,9,0,0,5517
sSkhYcbtjOHTdRSSFlbX,WMJcAUPbLOQHsmWKmIci,3,2,4,9800
QdSLyYnWnoamVXZOGBKp,RBWRjHhXngdqivoqaolc,5,0,7,9149
PPEqZTetcLTvnUKBkCNv,UeElJvJWcPSsoTlFzKpe,17,2,5,2837
VUdkqjZtOzSPanXudPoG,zDTVWYTZuMHKfsVojLyT,4,0,1,7575
ijeIZAROSnHKVRwXEuLJ,QTpsSnzzRHuasPRguxIO,16,1,3,5407
atzJmnZylCCGaKfdnrsJ,DemHQzBlrOxSVWFugkSN,12,0,1,9396
ejEjmStqznriFmBlmwbL,rLKHWemIVQgBbfzFMTkV,13,9,8,8560
NzgBPsqPFfGxlEiWBKGy,LSUQLWhzdLlVSbSbZNeQ,2,2,5,2634
fYmwDiVOFngSmqYgDbeW,NBeASCLvXARuRjuEydEr,7,0,2,3808
mjMMMhGaeLsAfDeYkgTI,AeDUkcZNyjJLELaShKdU,14,1,5,802
lwGTXMRhEZxeZZWDraWD,mFVegWHVbxiziXvXlVIn,11,1,6,2680
bGUfSwhtQwxvckzrvvZM,qTfrXuUdjJYeIVvvGAON,11,0,4,7461
QGlRerbHZJXqFlXYteyp,rSmqllpHdCKGIRkUNmhx,10,1,1,8414
xAnKqVqQNlScapHATwyg,nfDBgSsnnyZtdgAwsUBC,11,2,5,1103
FvQzPulpQxDReiabuJNo,UjVmYhupLNdzItZagnLY,10,9,8,5046
ExzTKDNTHbdaHOxLHprm,iXUPRYNfrePslPjhsldm,10,1,1,3541
MCLQJFmwGoxgHYOrIkIo,XJFyeBqrjfmTlSdXUykx,13,2,6,7177
NnqQTXFZmMpTciMHuDXy,baKdwwMxshfWAGDEkQEk,9,9,7,6426
zHnBQKAWrYUpAkryVlLD,ilROZeEOjVnDRoKMvrJB,5,2,7,2704
bmsykeZqnMmSOYapFwTn,IuLqPUidGNSYYMhRRsPa,6,9,5,6190
dRdscRakmtXpMUVAclFI,qUSJXDmxQPhwUgXYzAzN,4,2,6,6123
yMlSXaEWhtSjVhJvlNXa,tbBHlwuaLQqweFYgAeCh,9,2,1,6075
OaxEeuoJDoLOdWvaoQzD,CzhpJKnFPObDlLnZVTFE,2,2,2,6867
RQYAZnZYFpHKnKCvQnqx,ELCtzwqenJfdQGomzcCc,2,2,2,3936
qFlebJLEeSDUKoYpuQEZ,CzTCVQqSIEQMLXdNqHbU,8,1,6,9226
toSqGcHQMDqHOIivDwqv,bpETBDCaEXfAboxdyPgW,1,1,4,6309
lKtKGpXsOBnoSmyfkeAb,KoVCQPmlEfUwyOSPzVAj,4,0,4,6300
dRMZIPBHOICNvwIHhivf,UdtagDnnYBpfNELaWxIv,2,0,1,4255
HLSfqnNuSKNhlMvnZWSX,GixQIgrLMNyFyykJGPnR,15,2,8,6458
SMlzEGxBhSIXjfiTiUMh,pSVKWGDDwFtnAYQiLJVv,6,0,8,933
migqyPlPzIBMpMgqoFSJ,kdpsWuaJmTbWrSxtCKhl,12,0,0,8807
hecTWEylAdkWvXfCoQiv,AKJyOgxGEBTiOzJMbyYb,16,1,1,3190
sYDgQfYTsSltAhMKexpf,BuBCTJmVTDdYAgNmcywz,13,2,5,2181
TWiXJDpSwXtfwowaQRJN,hievylDmhClnLtIbOkup,14,1,5,6663
eXqoOFykzVfcrDUGPmni,ItwMaxKOaAcTBDgivySb,3,0,8,2897
tmgIhBXHWFqOozAJEtxu,DvyZiZbDxlSpKnFvbqve,1,2,6,1911
eRykuwmXNfYZMQMvzVBG,SqfYGJmhriGzziBvotcC,9,0,3,7060
egUZMgCtHBJhYswUBRgY,UAeMnuzOSVehlvIoROUU,11,2,6,3438
eQxPzPFoNlLkxzxhrGdg,MpnsZQLOsYXpsNjKFEfB,15,1,4,7011
kGXlAqKqNRlrTXDzXOiD,hXZZtuAJTgGHueNIwQbc,17,0,8,9513
vmVOZCKoyNrkoWyaxxSY,JIdkuHLmJPPHYXbRRQIL,15,9,6,146
hPOXjVRQjakpvIgoOOoo,pvWDjiBwpuoHTLeZKxUj,4,9,7,9403
jLKKtiyHHBrEupMADjrV,jLSQawuEASQEyuHzaXfC,8,2,0,8826
ftVfInLLbadfqaYuSrTa,lHIrKjPJHFDaVsOjmWxl,7,9,0,6661
jmxYtDPnCTOSCUeiVQRI,AMjfheSLxtbRBFXTpZrb,8,2,2,3775
WvzQxcXokqvEePLEOGEn,bNyfetFPUzYrquwPVwSK,16,2,0,1729
jBrJKSgmDAedQaaswuMQ,mdDLQoglUkrNNZbRfWyj,2,2,7,6738
qnsUxDttywlFbEdTNgyY,UvcYeDTwxmGXNwvSenEj,11,1,8,6747
jGNSeFDOePFuchUHFDTR,JORHwrrLSglAVwACIDJr,2,0,7,2557
lULxhbeSNbjnjVPZgqis,dUZPYIkUaYnKuULYJDce,15,9,4,5579
KhJKRYTHySYqUsSJvsRZ,CffvsdYyveitYmhLVTiF,8,0,0,4789
HJmyXWImEPMTDfxoQUWh,DkRwTiFWtSJhtquyMMAy,17,0,0,6135
JBIYbqLmzOilrTboRRVS,OmlQOaAQWJcGWuAkSyJC,4,9,5,228
JlfKAzayBXewyLyaqmHf,MPElCBgYVGSdahwXVCdT,1,9,0,3698
uYyguOFdNfIPyRsaKnpO,pQWrOrGVbMGQNrExqOVH,15,2,1,9615
aDoHlTZcmaYvqinofqzl,oLRAXiQOmhbeZqVZzrhs,11,2,3,8165
DtiMhCppRLggWfeumMDl,CHbnUKpunJKIGvNCvBnH,18,2,1,3670
GfnOvCtEucKwvVBgvOVW,glofzoyNcPQZAOqMByQf,13,0,2,1301
RBlXbjGWArNoPBPqpKuc,EWYpJWRLiZycnAuTaVlp,14,1,4,9684
PYAgAbFgFVYIIXqRrcgD,KpPPMWZvfrUkslKfErAi,1,9,4,5133
wGwmkizARhoFhZRxhdci,vSLomKhZLcwAnDIcxMvz,9,9,7,6976
gfcugozOyMFdgARWPJsE,VXVPuxLOoFfWdbINyzjN,7,9,1,8268
nYyhmGIekCqznDAeIlvq,UyuerGenkQIZcSsjbavi,15,9,2,3725
PopguwScxEsuiEcnWjoT,BdbjxuvZyUuKLfvfRWtS,3,1,0,7055
GNOOhVbCWLtmaztRpbBJ,UVEVMkpftLSashRKGPoY,10,1,0,2791
vquzrTwnJqlGsvOUqZuA,QnGSzUonUzTbWIiiNzCy,16,9,2,4332
CxMuINEhMGQtkscMmvUC,riuLbFPbxFZjrFSklcxF,13,9,8,6073
UPWcuszIPQbFxLGHRccy,AKPaNyoEMsHaOgXUplEl,7,0,5,6256
zIKLoQvMzZlaIxENKWyC,QdgdnZckpkaRnemJpYMk,13,0,8,5319
YMtIwlHgdebstOjhBGjx,VaHtcwMuFJmpRGGlmNaM,10,2,5,702
ornaeEgJXSIXRlmtyGFs,NaVcEzHODjpDVfXdiZoF,3,0,6,2444
EkOhvMTOmYLCpsCDsVHF,FGuJgCFkfzpnIpZzcSgV,7,2,0,4113
eYSJOniJlDUNqyXzwhmm,gZkrYCEhnyuCaclLIHbD,6,2,4,6042
FfYQYMmeBoDzDoaroITh,PZFbZElraNjcQVNGNkCg,5,0,0,823
pLTgNrXWxhBnRMydCmoy,AAYFisuhLenzsVGIBUJQ,12,2,0,159
xybaibfzppkCzilXfXOH,pRDgpXqlQBNRyKzjoAtj,11,0,5,947
VxiDGEiwsCVQKDtfgXop,nbQebzbRolVngHZgKzSk,6,2,7,7075
LFtUAOWrdEhvfRhDsAok,hqEERNZzDnkTrDKEiRCr,9,9,7,8330
NZiyWzmovJdetPhVZWse,IjfvsINBNpvyAxcNClXJ,6,0,6,4084
AZCsYzFOBjidivJYNVOy,nrUZunHKIImqaLlzcJtR,3,9,3,6254
gbGrFqhLFQWhOYTYyFxF,GhbEpmCpIEPorQEswauR,17,1,7,8929
mZCZwiDMPJRsQvQwEDwf,DFjkywpltEIKjPEpVIwH,15,1,4,2734
VWMbFIVceqnlyEiWYmRo,epyMAagMEtWfIcHirzmQ,3,0,7,1265
OVYRASQEBhkgGnnleUbW,ZyhtKpIyDssAZwjcxZJz,5,9,1,7060
vGLfGecnnDivobJLmYUM,nlCxKOUWLKyuAfXrCqYT,5,9,7,2760
iOoDzZDwTZXQFDquHaxx,poTibOfyFnnSJirCnoia,16,2,5,7463
llXYbjBnyzSyQBloYLcS,RxiWLUayRFxfeMHwEluh,1,0,5,4248
mBoBJnUnWucpTiWgYChb,CJNhHBUSonQgpLGdShzb,4,0,3,4430
kEmQTsPvomznFdWdeokP,fXFqQWKAeisxBdBMwVLm,18,9,8,8394
DBJMNNbLYRtmltRYdOqd,bufUyijAypFJasloWzXc,6,1,3,666
fAaVWQKIWIqFIdbhbcMQ,tsLdmzROZUWAsdjTuvWg,11,9,4,4316
nFaxjnLbGqRYhtsbefQQ,JZbmFlrhhYKYIUEcpruv,15,9,0,1851
eeWnIaPNDiDDctwNvGua,jzTjMoQaMIGyRwfYlgWr,11,1,3,6464
hSeDyDwMLZnxqeSKzcKA,YRxZgKVWSKOaAhSalqgm,13,2,2,4333
RLsJVjFIUGUHTjmqanPJ,wnUMscPweiGwtTRViTyH,17,2,2,2773
xwcPIPPGfKcJufXaNkYI,rwXXxvYZPMRrJYPyJJjK,4,2,5,3685
ZIdvPHYPsuOisDhjqylf,hZjOtBwUHkSvSmZfLOVf,4,9,7,3509
LDiwJxfVpNHhDKXRUOQd,dfOzqHlqAegBWvQRcLop,17,9,7,6570
sdShQdrQHrslgsmWAXCu,PxEeSyHhmOfuqvIkqLgy,7,1,3,4883
woBXZlOxmpaZJzVCtcXX,dWwnuDaKpgzkgksGQClq,16,2,4,9224
MPJRECpRtOYNsybXVLiH,cRpdIupIKHjlAOiLnENU,1,2,4,9090
kUlTsEGeJqRhBuXpyfHU,FzRUQjVqykquHVUvdLIc,8,0,6,9350
LoQoLIyleBUHfBpCMEwU,CFHBopRnPLWEhvIByIdQ,1,2,7,1813
GdMREMChozvuHXwsnGax,pSwBAYtHuVdPNTrTiRde,15,9,4,3423
BXWaBfFKinksEuQSdfau,jCERyiNEqDiTtICquBEG,6,1,5,6555
IXYnhHfWmSNhhEjXqDEA,VClBhORrSZHqdWstfWrS,6,2,6,5842
kReXwbYJbGVLJdfweZSs,CFnVMtTAQpWMGuCWNjDV,18,0,2,9775
EcTZBwNKSIuffMFeGUxP,TkIVrUvSxTBwMUABKiMx,12,9,4,3977
jvSqwLjPhXqKyWfDIJFZ,XkfxIDMIcALRtpKUIuSS,1,0,2,8668
CdygXHVFguAhnUeBIbMy,CSdDCcARMjQuZoqJqkQx,2,9,5,6184
osMAZvdSHGFhKOqAsVAS,OSwXxvHHuitzxHDSLcrj,10,9,1,8904
BMfgVbbidJagPNbtoNYl,skywADTrNrvbaFeFqzYE,7,2,3,2812
bXAFojVFRbPDkupTKsNv,gMbuUuNrzuJEtLiFDcNZ,6,1,1,7911
GJgYsEJceuTVsWHRqxjx,kLZDcvQYlazUfjFSIzuM,12,0,8,2295
wokmeOQTgshgFQyMGRGU,JpvlMiBAGjoZdASoMGFf,12,1,5,2694
PyejLWwRHaGUaXUGElQT,bYZNOgCdSEPRHNVbcxYA,18,2,8,665
EbYvtpSciZPtGWUPZYwm,XrOdNSuRLDwUBQRuGDdj,15,9,1,8677
suxuqkfnkfpQGJdNzCSX,XmBccLCFoKscrtannYzX,6,9,1,3524
uvCrrxZfiWxtbnivdzoG,AnNTJUecoljSQtjAQRbA,13,2,0,4561
bJwqivhwxrnCAvhRaBrh,SktDsSudxNOSGCHtXJjz,11,1,6,4449
rwKsDCBwFkpnEgtXhDsF,NKuCMhUdEzQUQigDtIel,5,1,5,8720
lTcEfNtLBXIOyGJDnWOU,luGrZmiTwthlbtcuwMoG,13,9,7,2097
XPJzVHceBeBoktoHgmnU,tccukknLTHsxRmOItNVa,16,2,1,9376
xhkYYkCXNuByNnVoBQZq,UUMYCFfggKItItrhfoib,11,2,0,8482
iwEniHqqFjXMOfXyptyX,PxWfwGBSrpbSixqkqxCz,8,2,8,3191
OKQkknwOxvPwwWGYmTqc,raTRIEcQspwCxhRvFkmZ,6,0,5,921
YHXPQoPdrTvNSikKgmzU,KgLknMbzQILsxGzbkIAh,14,1,3,6291
bZVAhPFeGgohiYCNANFK,OzEkYMNFgBGKzHHeXuTQ,6,1,8,9944
bFBAUdlqJFNKSpATsYWE,PgCatSNlZCdvatWSStBs,7,9,8,4818
xtJJDJyqCsnnAzZVqvkC,REZCxlHykjzhWJvbjiEl,14,2,6,4800
trKlmzXzgqxeENbluKSe,wWzkeflQvSyFhFbRpRdD,3,2,5,322
ktXHntKosiolZQVnmELV,TCuaVqlpcFoistVwxSmI,17,0,8,3689
RkDkXVvCouWufwXWMsqE,IiWbLeUVkSolFkWYduZv,8,2,6,2588
hfqKqvExUIHuCxCDhSci,EccrcKOXxHQvfBfpXlsw,17,0,1,232
bRfpWYHkzRgDgIlkptQe,wibGZRIobnpAWpkvpJNf,5,9,3,893
bfEFrWFloSHOQdHkJpGM,dyEjIOubYyDvJyeQVGWJ,10,2,2,6548
DUxYilFjBqcxsVKWnPeR,pzyDSTgdCIrCGXljVumV,10,0,4,6297
jgoWsyihNzAPINhrSecz,iEKDRgBrmXlfpQuSYbrs,1,9,5,2538
gbCnPxMlFGHXupzCLunU,XWTWtGbvZgVHzvjaLBuK,5,9,5,4966
nppQHWKrFwmbFBHonklA,NvGaSCKRPkoOGWsYLifw,4,2,5,1387
JnDynralswDoxvoAqDhq,mSzbRdoxEEuTpKmOlpOS,9,9,6,8675
EEcWhJuUwKZvJNnIlRNj,OHWLxaQuMwCVMWozvdDd,15,0,4,5096
